Single Measure,Modality,no,Item,Description,ItemType,Required,Values,Unnamed: 8
0,MMSE,21,mmse_21_delayed_recall_3,MMSE 21 - delayed recall item 3,integer,nullable,"y.isin([0,1])",
0,MMSE,35,mmse_delayed_recall,sum MMSE 19-21 delayed recall,integer,nullable,(y>=0) & (y<=3),
0,MMSE,22,mmse_22_naming_1,MMSE 22 naming item 1,integer,nullable,"y.isin([0,1])",
0,MMSE,23,mmse_23_naming_2,MMSE 23 naming item 2,integer,nullable,"y.isin([0,1])",
0,MMSE,36,mmse_naming,sum MMSE 22-23 naming,integer,nullable,"y.isin([0,1, 2])",
0,MMSE,24,mmse_24_repeating,MMSE 24 - repetition,integer,nullable,"y.isin([0,1])",
0,MMSE,25,mmse_25_oral_command_1,MMSE 25 - oral command item 1,integer,nullable,"y.isin([0,1])",
0,MMSE,26,mmse_26_oral_command_2,MMSE 26 - oral command item 2,integer,nullable,"y.isin([0,1])",
0,MMSE,27,mmse_27_oral_command_3,MMSE 27 - oral command item 3,integer,nullable,"y.isin([0,1])",
0,MMSE,37,mmse_comprehension,sum MMSE 25-27 comprehension,integer,nullable,(y>=0) & (y<=3),
0,MMSE,28,mmse_28_reading,MMSE 28 - reading,integer,nullable,"y.isin([0,1])",
0,MMSE,29,mmse_29_writing,MMSE 29 - writing,integer,nullable,"y.isin([0,1])",
0,MMSE,30,mmse_30_drawing,MMSE 30 - drawing,integer,nullable,"y.isin([0,1])",
0,MMSE,38,mmse_total_score,MMSE total score,integer,nullable,(y>=0) & (y<=30),
0,UPDRS Part I,1,code_upd101_intellectual_impairment,Mentation:Intellectual Impairment,integer,nullable,"y.isin([0,1,2,3,4])",
0,UPDRS Part I,2,code_upd102_thought_disorder,Mentation:Thought Disorder,integer,nullable,"y.isin([0,1,2,3,4])",
0,UPDRS Part I,3,code_upd103_depression,Mentation:Depression,integer,nullable,"y.isin([0,1,2,3,4])",
0,UPDRS Part I,4,code_upd104_motivation,Mentation:Motivation/Initiative,integer,nullable,"y.isin([0,1,2,3,4])",
0,UPDRS Part II,5,code_upd105_speech,Activities:Speech,integer,nullable,"y.isin([0,1,2,3,4])",
0,UPDRS Part II,6,code_upd106_salivation,Activities:Salivation,integer,nullable,"y.isin([0,1,2,3,4])",
0,UPDRS Part II,7,code_upd107_swallowing,Activities:Swallowing,integer,nullable,"y.isin([0,1,2,3,4])",
0,UPDRS Part II,8,code_upd108_handwriting,Activities:Handwriting,integer,nullable,"y.isin([0,1,2,3,4])",
0,UPDRS Part II,9,code_upd109_eating_tasks,Activities:Cut Food/Handle Utensil,integer,nullable,"y.isin([0,1,2,3,4])",
0,UPDRS Part II,10,code_upd110_dressing,Activities:Dressing,integer,nullable,"y.isin([0,1,2,3,4])",
0,UPDRS Part II,11,code_upd111_hygiene,Activities:Hygiene,integer,nullable,"y.isin([0,1,2,3,4])",
0,UPDRS Part II,12,code_upd112_bed,Activities:Turn Bed/Adj Clothes,integer,nullable,"y.isin([0,1,2,3,4])",
0,UPDRS Part II,13,code_upd113_falling,Activities:Falling,integer,nullable,"y.isin([0,1,2,3,4])",
0,UPDRS Part II,14,code_upd114_freezing_of_gait,Activities:Freezing When Walking,integer,nullable,"y.isin([0,1,2,3,4])",
0,UPDRS Part II,15,code_upd115_walking,Activities:Walking,integer,nullable,"y.isin([0,1,2,3,4])",
0,UPDRS Part II,16,code_upd116_tremor,Activities:Tremor,integer,nullable,"y.isin([0,1,2,3,4])",
0,UPDRS Part II,17,code_upd117_sensory_complaints,Activities:Sensory Complaints,integer,nullable,"y.isin([0,1,2,3,4])",
0,UPDRS Part III,18,code_upd118_speech,Motor:Speech,integer,nullable,"y.isin([0,1,2,3,4])",
0,UPDRS Part III,19,code_upd119_facial_expression,Motor:Facial Expression,integer,nullable,"y.isin([0,1,2,3,4])",
0,UPDRS Part III,20,code_upd120_rest_tremor,Motor:Tremor at Rest,integer,nullable,"y.isin([0,1,2,3,4])",
0,UPDRS Part III,21,code_upd120a_rest_tremor_right_upper_extremity,Motor:Tremor at Rest Right Upper Extremity,integer,nullable,"y.isin([0,1,2,3,4])",
0,UPDRS Part III,22,code_upd120b_rest_tremor_left_upper_extremity,Motor:Tremor at Rest Left Upper Extremity,integer,nullable,"y.isin([0,1,2,3,4])",
0,UPDRS Part III,23,code_upd120c_rest_tremor_right_lower_extremity,Motor:Tremor at Rest Right Lower Extremity,integer,nullable,"y.isin([0,1,2,3,4])",
0,UPDRS Part III,24,code_upd120d_rest_tremor_left_lower_extremity,Motor:Tremor at Rest Left Lower Extremity,integer,nullable,"y.isin([0,1,2,3,4])",
0,UPDRS Part III,25,code_upd120e_rest_tremor_lip_or_jaw,Motor: Rest Tremor in Lip or Jaw,integer,nullable,"y.isin([0,1,2,3,4])",
0,UPDRS Part III,26,code_upd121_action_or_postural_tremor,Motor:Action/Postural Hand Tremor,integer,nullable,"y.isin([0,1,2,3,4])",
0,UPDRS Part III,27,code_upd121a_action_or_postural_tremor_right,Motor:Action/Postural Right Hand Tremor,integer,nullable,"y.isin([0,1,2,3,4])",
0,UPDRS Part III,28,code_upd121b_action_or_postural_tremor_left,Motor:Action/Postural Left Hand Tremor,integer,nullable,"y.isin([0,1,2,3,4])",
0,UPDRS Part III,29,code_upd122_rigidity,Moto:Rigidity,integer,nullable,"y.isin([0,1,2,3,4])",
0,UPDRS Part III,30,code_upd122a_rigidity_neck,Motor:Neck Rigidity,integer,nullable,"y.isin([0,1,2,3,4])",
0,UPDRS Part III,31,code_upd122b_rigidity_rt_upper_extremity,Motor:Right Upper Extremity Rigidity,integer,nullable,"y.isin([0,1,2,3,4])",
0,UPDRS Part III,32,code_upd122c_rigidity_left_upper_extremity,Motor:Left Upper Extremity Rigidity,integer,nullable,"y.isin([0,1,2,3,4])",
0,UPDRS Part III,33,code_upd122d_rigidity_rt_lower_extremity,Motor:Right Lower Extremity Rigidity,integer,nullable,"y.isin([0,1,2,3,4])",
0,UPDRS Part III,34,code_upd122e_rigidity_left_lower_extremity,Motor:Left Lower Extremity Rigidity,integer,nullable,"y.isin([0,1,2,3,4])",
0,UPDRS Part III,35,code_upd123_finger_taps,Motor:Finger Taps,integer,nullable,"y.isin([0,1,2,3,4])",
0,UPDRS Part III,36,code_upd123a_right_finger_taps,Motor:Right Finger Taps,integer,nullable,"y.isin([0,1,2,3,4])",
0,UPDRS Part III,37,code_upd123b_left_finger_taps,Motor:Left Finger Taps,integer,nullable,"y.isin([0,1,2,3,4])",
0,UPDRS Part III,38,code_upd124_hand_movements,Motor:Hand Movements,integer,nullable,"y.isin([0,1,2,3,4])",
0,UPDRS Part III,39,code_upd124a_right_hand_movements,Motor:Right Hand Movements,integer,nullable,"y.isin([0,1,2,3,4])",
0,UPDRS Part III,40,code_upd124b_left_hand_movements,Motor:Left Hand Movements,integer,nullable,"y.isin([0,1,2,3,4])",
0,UPDRS Part III,41,code_upd125_pron_sup_movement,Motor:Rapid Alternating Hand Moves,integer,nullable,"y.isin([0,1,2,3,4])",
0,UPDRS Part III,42,code_upd125a_pron_sup_movement_right_hand,Motor:Rapid Alternating Right Hand Moves,integer,nullable,"y.isin([0,1,2,3,4])",
0,UPDRS Part III,43,code_upd125b_pron_sup_movement_left_hand,Motor:Rapid Alternating Left Hand Moves,integer,nullable,"y.isin([0,1,2,3,4])",
0,UPDRS Part III,44,code_upd126_leg_agility,Motor:Leg Agility,integer,nullable,"y.isin([0,1,2,3,4])",
0,UPDRS Part III,45,code_upd126a_right_leg_agility,Motor:Right Leg Agility,integer,nullable,"y.isin([0,1,2,3,4])",
0,UPDRS Part III,46,code_upd126b_left_leg_agility,Motor:Left Leg Agility,integer,nullable,"y.isin([0,1,2,3,4])",
0,UPDRS Part III,47,code_upd127_arising_from_chair,Motor:Arising from Chair,integer,nullable,"y.isin([0,1,2,3,4])",
0,UPDRS Part III,48,code_upd128_posture,Motor:Posture,integer,nullable,"y.isin([0,1,2,3,4])",
0,UPDRS Part III,49,code_upd129_gait,Motor:Gait,integer,nullable,"y.isin([0,1,2,3,4])",
0,UPDRS Part III,50,code_upd130_postural_stability,Motor:Postural Stability,integer,nullable,"y.isin([0,1,2,3,4])",
0,UPDRS Part III,51,code_upd131_body_bradykinesia,Motor:Bradykinesia and Hypokinesia,integer,nullable,"y.isin([0,1,2,3,4])",
0,UPDRS Part IV,52,code_upd132_time_spent_with_dyskinesias,Complications:Dyskinesias Duration,integer,nullable,"y.isin([0,1,2,3,4])",
0,UPDRS Part IV,53,code_upd133_functional_impact_of_dyskinesias,Complications:Dyskinesias Disable,integer,nullable,"y.isin([0,1,2,3,4])",
0,UPDRS Part IV,54,code_upd134_painful_dyskinesias,Complications:Dyskinesias Painful,integer,nullable,"y.isin([0,1,2,3,4])",
0,UPDRS Part IV,55,code_upd135_early_morning_dystonia,Complications:Dyskinesias Dystonia,integer,nullable,"y.isin([0,1])",
0,UPDRS Part IV,56,code_upd136_predictable_off,Complications:Fluct Predictable,integer,nullable,"y.isin([0,1])",
0,UPDRS Part IV,57,code_upd137_unpredictable_off,Complications:Fluct Unpredictable,integer,nullable,"y.isin([0,1])",
0,UPDRS Part IV,58,code_upd138_sudden_off,Complications:Fluct Suddenly,integer,nullable,"y.isin([0,1])",
0,UPDRS Part IV,59,code_upd139_time_spent_in_the_off_state,Complications:Proportion OFF,integer,nullable,"y.isin([0,1,2,3,4])",
0,UPDRS Part IV,60,code_upd140_anorexia,"Complications:Anorexia, Nausea, Vomiting",integer,nullable,"y.isin([0,1])",
0,UPDRS Part IV,61,code_upd141_sleep_disturbances,"Complications:Insomnia, Hypersomnolence",integer,nullable,"y.isin([0,1])",
0,UPDRS Part IV,62,code_upd142_symptomatic_orthostasis,Complications:Symptomatic Orthostasis,integer,nullable,"y.isin([0,1])",
0,UPDRS Part I,63,updrs_part_i_summary_score,UPDRS Part I Summary Score,integer,nullable,(y>=0) & (y<=16),
0,UPDRS Part II,64,updrs_part_ii_summary_score,UPDRS Part II Summary Score,integer,nullable,(y>=0) & (y<=52),
0,UPDRS Part III,65,updrs_part_iii_summary_score,UPDRS Part III Summary Score,integer,nullable,(y>=0) & (y<=136),
0,UPDRS Part IV,66,updrs_part_iv_summary_score,UPDRS Part IV Summary Score,integer,nullable,(y>=0) & (y<=23),
0,PD RFQ-U,1,pdrfuq_coffee,"In your lifetime, have you ever regularly drunk caffeinated coffee, that is, at least once per week for 6 months or longer? {0:No, 1:Yes, 2:Possibly, -9:Don't Know, -7:Refused}",string,nullable,"[""No"", ""Yes"", ""Don't Know"", ""Refused""]",
0,PD RFQ-U,2,pdrfuq_black_tea,"In your lifetime, have you ever regularly drunk hot or iced caffeinated black tea, that is, at least once per week for 6 months or longer? {0:No, 1:Yes, 2:Possibly, -9:Don't Know, -7:Refused}",string,nullable,"[""No"", ""Yes"", ""Don't Know"", ""Refused""]",
0,PD RFQ-U,3,pdrfuq_green_tea,"In your lifetime, have you ever regularly drunk caffeinated green tea, that is, at least once per week for 6 months or longer? {0:No, 1:Yes, 2:Possibly, -9:Don't Know, -7:Refused}",string,nullable,"[""No"", ""Yes"", ""Don't Know"", ""Refused""]",
0,PD RFQ-U,4,pdrfuq_caffeinated_soda,"In your lifetime, have you ever regularly drunk caffeinated soda, that is, at least once per week for 6 months or longer? {0:No, 1:Yes, 2:Possibly, -9:Don't Know, -7:Refused}",string,nullable,"[""No"", ""Yes"", ""Don't Know"", ""Refused""]",
0,PD RFQ-U,5,pdrfuq_concussion,"Have you ever had a head injury or concussion? {0:No, 1:Yes, 2:Possibly, -9:Don't Know, -7:Refused}",string,nullable,"[""No"", ""Yes"", ""Possibly"", ""Don't Know"", ""Refused""]",
0,PD RFQ-U,6,pdrfuq_ibuprofen,"Have you ever regularly taken ibuprofen-based non-aspirin medications, that is, at least two pills per week for 6 months or longer? {0:No, 1:Yes, 2:Possibly, -9:Don't Know, -7:Refused}",string,nullable,"[""No"", ""Yes"", ""Don't Know"", ""Refused""]",
0,PD RFQ-U,7,pdrfuq_aspirin,"Have you ever regularly taken aspirin, that is, at least two pills per week for 6 months or longer? {0:No, 1:Yes, 2:Possibly, -9:Don't Know, -7:Refused}",string,nullable,"[""No"", ""Yes"", ""Don't Know"", ""Refused""]",
0,PD RFQ-U,8,pdrfuq_other_anti_inflmmatory_med,"Have you ever regularly taken other anti-inflammatory medications for pain, inflammation, or swelling, that is, at least two pills per week for 6 months or longer? {0:No, 1:Yes, 2:Possibly, -9:Don't Know, -7:Refused}",string,nullable,"[""No"", ""Yes"", ""Don't Know"", ""Refused""]",
0,PD RFQ-U,9,pdrfuq_smoke_100,"In your lifetime, have you smoked 100 or more cigarettes (5 packs)? {0:No, 1:Yes, 2:Possibly, -9:Don't Know, -7:Refused}",string,nullable,"[""No"", ""Yes"", ""Don't Know"", ""Refused""]",
0,PD RFQ-U,10,pdrfuq_smoke_regularly,"In your lifetime, have you ever regularly smoked cigarettes, that is, at least one cigarette per day for 6 months or longer?",string,nullable,"[""No"", ""Yes"", ""Don't Know"", ""Refused""]",
0,PD RFQ-U,11,pdrfuq_smokeless_tabacco,"Have you ever used smokeless tobacco such as chewing tobacco or snuff regularly, that is, at least once per day for 6 months or longer? {0:No, 1:Yes, 2:Possibly, -9:Don't Know, -7:Refused}",string,nullable,"[""No"", ""Yes"", ""Don't Know"", ""Refused""]",
0,PD RFQ-U,12,pdrfuq_alcohol_100,"In your lifetime, have you drunk 100 or more alcoholic drinks (beer, wine, liquor, spirits)? {0:No, 1:Yes, 2:Possibly, -9:Don't Know, -7:Refused}",string,nullable,"[""No"", ""Yes"", ""Don't Know"", ""Refused""]",
0,PD RFQ-U,13,pdrfuq_alcohol_regularly,"In your lifetime, have you ever regularly drunk alcohol, that is, at least one drink per week for 6 months or longer? {0:No, 1:Yes, 2:Possibly, -9:Don't Know, -7:Refused}",string,nullable,"[""No"", ""Yes"", ""Don't Know"", ""Refused""]",
0,MERQ-PD-B,1,merq_job_pesticides,"Over your lifetime, have you ever had a job in which you used any type of pesticide, including herbicides, fungicides, or fumigants?",string,nullable,"[""Yes"", ""No"", ""Uncertain""]",
0,MERQ-PD-B,2,merq_home_pesticides,"Over your lifetime, were you ever exposed to pesticides including herbicides, insecticides, fungicides, or fumigants used on your home, lawn, garden, or on a pet?",string,nullable,"[""Yes"", ""No"", ""Uncertain""]",
0,MERQ-PD-B,3,merq_chemical_solvents,"Over your lifetime, have you ever worked with chemical solvents for more than 6 months?",string,nullable,"[""Yes"", ""No"", ""Uncertain""]",
0,MERQ-PD-B,4,merq_heavy_metals,"Over your lifetime, have you ever worked with heavy metals for more than 6 months?",string,nullable,"[""Yes"", ""No"", ""Uncertain""]",
0,MERQ-PD-B,5,merq_chemicals_other,"Over your lifetime, have you ever worked with any other chemicals or fumes for more than 6 months?",string,nullable,"[""Yes"", ""No"", ""Uncertain""]",
0,MERQ-PD-B,6,merq_caffeine,"Before you were diagnosed with PD, on average how many cups of a caffeine-containing beverage (e.g. coffee, tea, soda) did you drink each day, during the times you were drinking caffeine-containing beverages?",numeric,nullable,(y>=0),
0,MERQ-PD-B,7,merq_caffeine_current,"At present, how many cups of a caffeine-containing beverage do you drink on a typical day?",numeric,nullable,(y>=0),
0,MERQ-PD-B,8,merq_cigarettes,"Before you were diagnosed with PD, did you ever smoke cigarettes regularly, that is at least 1 cigarette per day for at least 6 months?",string,nullable,"[""Yes"", ""No"", ""Uncertain""]",
0,MERQ-PD-B,9,merq_cigarettes_years,For how many years did you smoke cigarettes regularly?,numeric,nullable,(y>=0),
0,MERQ-PD-B,10,merq_cigarettes_daily,"During the time that you smoked regularly, about how much did you smoke per day?",numeric,nullable,(y>=0),
0,MERQ-PD-B,11,merq_cigarettes_current,Do you smoke cigarettes regularly now?,string,nullable,"[""Yes"", ""No"", ""Uncertain""]",
0,MERQ-PD-B,12,merq_cigarettes_current_amount,How much do you smoke per day? (Cigarettes/day),numeric,nullable,(y>=0),
0,MERQ-PD-B,13,merq_smoker_home,"Before you were diagnosed with PD, did you live with a smoker?",string,nullable,"[""Yes"", ""No"", ""Uncertain""]",
0,MERQ-PD-B,14,merq_head_injury,"Before you were diagnosed with PD, did you ever have a head injury where you lost consciousness or were diagnosed with a concussion by a doctor?",string,nullable,"[""Yes"", ""No"", ""Uncertain""]",
0,MERQ-PD-B,15,merq_head_injury_year,In what year did the head injury occur?,numeric,nullable,(y>1920)&(y<2050),
0,MERQ-PD-B,15,merq_ovaries_surgery,"Before you were diagnosed with PD, did you ever have one or both ovaries surgically removed?",string,nullable,"[""Yes"", ""No"", ""Uncertain"", ""Not applicable""]",
0,MERQ-PD-B,16,merq_ovaries_surgery_year,In what year did the surgery occur?,numeric,nullable,(y>1920)&(y<2050),
0,MERQ-PD-B,16,merq_depression,"Before you were diagnosed with PD, were you ever diagnosed with depression?",string,nullable,"[""Yes"", ""No"", ""Uncertain""]",
0,MERQ-PD-B,17,merq_depression_dx_year,In what year?,numeric,nullable,(y>1920)&(y<2050),
0,MERQ-PD-B,18,merq_anxiety,"Before you were diagnosed with PD, were you ever diagnosed with anxiety?",string,nullable,"[""Yes"", ""No"", ""Uncertain""]",
0,MERQ-PD-B,19,merq_anxiety_dx_year,In what year?,numeric,nullable,(y>1920)&(y<2050),
0,Modified MERQ-PD,1,m_merq_job_longest,What was your longest held job? (free text),string,nullable,,
0,Modified MERQ-PD,,m_merq_age_job_longest,How old were you when you started this job? (longest held job),numeric,nullable,(y>=0),
0,Modified MERQ-PD,,m_merq_job_length_longest,For how many years did you have this job? (longest held job),numeric,nullable,(y>=0),
0,Modified MERQ-PD,,m_merq_job_second,What was your second longest held job? (free text),string,nullable,,
0,Modified MERQ-PD,,m_merq_age_job_second,How old were you when you started this job? (second longest job),numeric,nullable,(y>=0),
0,Modified MERQ-PD,,m_merq_job_length_second,For how many years did you have this job? (second longest job),numeric,nullable,(y>=0),
0,Modified MERQ-PD,,m_merq_job_third,What was your third longest held job? (free text),string,nullable,,
0,Modified MERQ-PD,,m_merq_age_job_third,How old were you when you started this job? (third longest job),numeric,nullable,(y>=0),
0,Modified MERQ-PD,,m_merq_job_length_third,For how many years did you have this job? (third longest job),numeric,nullable,(y>=0),
0,Modified MERQ-PD,,m_merq_job_pesticide,"Over your lifetime, have you ever had a job in which you mixed, applied, or were exposed in some other way to any type of pesticide, including herbicides (used to kill weeds), and insecticides (used to kill insects or other pests)?",string,nullable,"[""Yes"", ""No"", ""Don't know"", ""Prefer not to answer""]",
0,Modified MERQ-PD,,m_merq_pesticide_name,Name the specific pesticides if you remember them,string,nullable,,
0,Modified MERQ-PD,,m_merq_pesticide_first_age,"How old were you when you first had a job in which you mixed, applied, or were exposed to any type of pesticide?",numeric,nullable,(y>=0),
0,Modified MERQ-PD,,m_merq_pesticide_last_age,"How old were you when you last had a job in which you mixed, applied, or were exposed to any type of pesticide?",numeric,nullable,(y>=0),
0,Modified MERQ-PD,,m_merq_job_solvent,"In your lifetime, have you ever had a job where you used solvents or degreasers?",string,nullable,"[""Yes"", ""No"", ""Don't know"", ""Prefer not to answer""]",
0,Modified MERQ-PD,,m_merq_solvent_name,Name the solvents or degreasers if you remember them,string,nullable,,
0,Modified MERQ-PD,,m_merq_solvent_first_age,How old were you when you first had a job where you used solvents or degreasers?,numeric,nullable,(y>=0),
0,Modified MERQ-PD,,m_merq_solvent_last_age,How old were you when you last had a job where you used solvents or degreasers?,numeric,nullable,(y>=0),
0,Modified MERQ-PD,,m_merq_job_weld,"In your lifetime, have you ever had a job in which you welded, brazed, or flame cut metal?",string,nullable,"[""Yes"", ""No"", ""Don't know"", ""Prefer not to answer""]",
0,Modified MERQ-PD,,m_merq_weld_first_age,"How old were you when you first had a job in which you welded, brazed, or flame cut metal?",numeric,nullable,(y>=0),
0,Modified MERQ-PD,,m_merq_weld_last_age,"How old were you when you last had a job in which you welded, brazed, or flame cut metal?",numeric,nullable,(y>=0),
0,Modified MERQ-PD,,m_merq_smoking_ever,"In your lifetime, have you ever regularly smoked cigarettes, that is, at least one cigarette per day for 6 months or longer?",string,nullable,"[""Yes"", ""No"", ""Don't know"", ""Prefer not to answer""]",
0,Modified MERQ-PD,,m_merq_smoking_first_age,How old were you when you first started smoking regularly?,numeric,nullable,(y>=0),
0,Modified MERQ-PD,,m_merq_smoking_continue,Do you continue to smoke regularly?,string,nullable,"[""Yes"", ""No"", ""Don't know"", ""Prefer not to answer""]",
0,Modified MERQ-PD,,m_merq_smoking_last_age,How old were you when you last stopped smoking regularly?,numeric,nullable,(y>=0),
0,Modified MERQ-PD,,m_merq_smoke_per_day,"During the time that you regularly smoked, on average, how many cigarettes did you smoke per day?",numeric,nullable,(y>=0),
0,Modified MERQ-PD,,m_merq_caffeine_ever,"In your lifetime, have you ever regularly drunk caffeine-containing beverages (e.g., coffee, tea, soda), that is, at least once per day for 6 months or longer?",string,nullable,"[""Yes"", ""No"", ""Don't know"", ""Prefer not to answer""]",
0,Modified MERQ-PD,,m_merq_caffeine_first_age,How old were you when you first started to regularly drink caffeine-containing beverages?,numeric,nullable,(y>=0),
0,Modified MERQ-PD,,m_merq_caffeine_continue,Do you continue to regularly drink caffeine-containing beverages?,string,nullable,"[""Yes"", ""No"", ""Don't know"", ""Prefer not to answer""]",
0,Modified MERQ-PD,,m_merq_caffeine_last_age,How old were you when you last regularly drank caffeine-containing beverages?,numeric,nullable,(y>=0),
0,Modified MERQ-PD,,m_merq_caffeine_per_day,"During the time you were regularly drinking caffeine-containing beverages (e.g., coffee, tea, soda), on average, about how many cups per day did you drink?",numeric,nullable,(y>=0),
0,Modified MERQ-PD,,m_merq_head_injury_ever,"Have you ever had a head injury or concussion? These may have occured during sporting activities, from falls, violence, car accidents, or other accidents. Include injuries from both childhood and adulthood",string,nullable,"[""Yes"", ""No"", ""Don't know"", ""Prefer not to answer""]",
0,Modified MERQ-PD,,m_merq_head_injury_count,"In your lifetime, how many head injuries or concussions have you had?",numeric,nullable,(y>=0),
0,Modified MERQ-PD,,m_merq_head_injury_first_age,What age was your first head injury or concussion?,numeric,nullable,(y>=0),
0,Modified MERQ-PD,,m_merq_head_injury_last_age,What age was your last head injury or concussion?,numeric,nullable,(y>=0),
0,Modified MERQ-PD,,m_merq_alcohol_ever,"In your lifetime, have you ever regularly drunk alcoholic beverages (e.g., beer, wine, spirits) at least once a week for 6 months or longer?",string,nullable,"[""Yes"", ""No"", ""Don't know"", ""Prefer not to answer""]",
0,Modified MERQ-PD,,m_merq_alcohol_first_age,How old were you when you first started to regularly drink alcoholic beverages?,numeric,nullable,(y>=0),
0,Modified MERQ-PD,,m_merq_alcohol_continue,Do you continue to drink alcoholic beverages?,string,nullable,"[""Yes"", ""No"", ""Don't know"", ""Prefer not to answer""]",
0,Modified MERQ-PD,,m_merq_alcohol_last_age,How old were you when you last regularly drank alcoholic beverages?,numeric,nullable,(y>=0),
0,Modified MERQ-PD,,m_merq_alcohol_per_week,"During the time you were regularly drinking alcoholic beverages, how many drinks containing alcohol would you have in a typical week?",numeric,nullable,(y>=0),
0,Modified MERQ-PD,,m_merq_diabetes_dx,Has a healthcare provider diagnosed you with diabetes?,string,nullable,"[""Yes"", ""No"", ""Don't know"", ""Prefer not to answer""]",
0,Modified MERQ-PD,,m_merq_diabetes_dx_age,How old were you when a healthcare provider diagnosed you with diabetes?,numeric,nullable,(y>=0),
0,Modified MERQ-PD,,m_merq_exercise_per_week,"On average, how many days per week do you engage in at least moderate exercise or activities? Moderate exercise or activities cause a small increases in breathing or heart rate, such as brisk walking or bicycling",numeric,nullable,(y>=0),
0,Modified MERQ-PD,,m_merq_exercise_minutes,"On average, how many minutes do you engage in exercise at this level on a given day?",numeric,nullable,(y>=0),
0,Modified MERQ-PD,,m_merq_active_duration,For how long have you been at least this physically activie or more physically active?,numeric,nullable,(y>=0),
0,DAT_imaging,0,dat_low_dopamine_reuptake,DAT dopamine re-uptake negative. DAT dopamine transporter binding normal = SWEDD = 1. DAT binding abnormal = PD = 0,numeric,nullable,"y.isin([0,1])",
0,DAT_imaging,1,dat_sbr_caudate_right,SBR for right caudate,numeric,nullable,(y>0)&(y<10),
0,DAT_imaging,2,dat_sbr_caudate_left,SBR for left caudate,numeric,nullable,(y>0)&(y<10),
0,DAT_imaging,3,dat_sbr_caudate_mean,SBR mean for caudate,numeric,nullable,(y>0)&(y<10),
0,DAT_imaging,4,dat_sbr_putamen_right,SBR for right putamen,numeric,nullable,(y>0)&(y<10),
0,DAT_imaging,5,dat_sbr_putamen_left,SBR for left putamen,numeric,nullable,(y>0)&(y<10),
0,DAT_imaging,6,dat_sbr_putamen_mean,SBR mean for putamen,numeric,nullable,(y>0)&(y<10),
0,DAT_imaging,7,dat_sbr_striatum_mean_right,Mean SBR for right caudate and putamen,numeric,nullable,(y>0)&(y<10),
0,DAT_imaging,8,dat_sbr_striatum_mean_left,Mean SBR for left caudate and putamen,numeric,nullable,(y>0)&(y<10),
0,DAT_imaging,9,dat_sbr_striatum_mean,Mean SBR,numeric,nullable,(y>0)&(y<10),
0,MIBG_imaging,1,HM_ratio_early,Ratio calculated in the early phase,numeric,nullable,(y>0)&(y<10),
0,MIBG_imaging,2,HM_ratio_delay,Ratio calculated in the delayed phase,numeric,nullable,(y>0)&(y<10),
1,Pathology,1,asap_id,Unique participant ID asigned by ASAP,string,required,,
1,Pathology,2,path_brain_id,Brain Bank Subject ID (Unique Subject ID at Brain Bank),string,nullable,,
1,Pathology,3,path_year_death,Year of death,numeric,nullable,(y>1920)&(y<2050),
1,Pathology,4,age_at_death,expired_age (Age at Death),string,nullable,,
1,Pathology,5,cause_death,Cause of death,string,nullable,,
1,Pathology,6,path_PMI_hours,Interval between death and autopsy start (hours),numeric,nullable,(y>0)&(y<1200),
1,Pathology,7,pm_RIN,Post mortem RIN,numeric,nullable,(y >= 0) & (y <= 10),
1,Pathology,8,pm_PH,Post mortem Ph,numeric,nullable,(y >= 0) & (y <= 14),
1,Pathology,9,brain_weight,Brain weight,numeric,nullable,(y >= 0) & (y <= 3000),
1,Pathology,10,path_autopsy_dx_main,Pathological diagnosis,string,required,"[""Lewy body disease nos"", ""Parkinson's disease"", ""Parkinson's disease with dementia"", ""Dementia with Lewy bodies"", ""Multiple system atrophy (SND>OPCA)"", ""Multiple system atrophy (OPCA<SND)"", ""Multiple system atrophy (SND=OPCA)"", ""Progressive supranuclear palsy"", ""Corticobasal degeneration"", ""Globular glial tauoapathy (GGT)"", ""Chronic traumatic encephalopathy (CTE)"", ""FTLD-Tau (Pick's)"", ""FTLD-Tau (MAPT)"", ""FTLD-Tau (AGD)"", ""FTLD-TDP43, Type A"", ""FTLD-TDP43, Type B"", ""FTLD-TDP43, Type C"", ""FTLD-TDP43, Type D"", ""FTLD-TDP43, Type E"", ""Motor neurone disease-TDP43 (MND or ALS)"", ""FTLD-MND-TDP43"", ""Huntington's disease"", ""Spinocerebellar ataxia, nos"", ""Prion disease, nos"",   ""Alzheimer's disease (high level neuropathological change)"", ""Alzheimer's disease (intermediate level neuropathological change)"", ""Control, Low level AD neuropathological change"", ""Control, Limbic predominant age-related TDP43 proteinopathy (LATE)"", ""Control, Argyrophilic grain disease"", ""Control, Primary age-related tauopathy (PART)"", ""Control, Ageing-related tau astrogliopathy (ARTAG)"", ""Control, Cerebrovascular disease (atherosclerosis)"", ""Control, Cerebrovascular disease (hyaline arteriolosclerosis)"", ""Control, Cerebrovascular disease (cerebral amyloid angiopathy)"", ""Control, no misfolded protein or significant vascular pathology"", ""Other neurological disorder""]",
1,Pathology,11,path_autopsy_dx_brain_bank,Pathological diagnosis recorded as it is by the brain bank,string,nullable,,
